number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,20144.00390625,2026-02-24 05:32:32.456366,2026-02-24 05:32:32.895960,0 days 00:00:00.439594,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,26947.1015625,2026-02-24 05:32:32.896933,2026-02-24 05:32:33.560604,0 days 00:00:00.663671,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,16892.44921875,2026-02-24 05:32:33.561591,2026-02-24 05:32:33.859075,0 days 00:00:00.297484,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,18417.197265625,2026-02-24 05:32:33.860001,2026-02-24 05:32:34.432092,0 days 00:00:00.572091,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,23087.33984375,2026-02-24 05:32:34.433044,2026-02-24 05:32:34.614777,0 days 00:00:00.181733,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,22884.630859375,2026-02-24 05:32:34.615724,2026-02-24 05:32:34.754182,0 days 00:00:00.138458,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,25273.66015625,2026-02-24 05:32:34.755099,2026-02-24 05:32:35.165973,0 days 00:00:00.410874,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,17303.79296875,2026-02-24 05:32:35.166908,2026-02-24 05:32:35.275074,0 days 00:00:00.108166,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,17398.50390625,2026-02-24 05:32:35.275981,2026-02-24 05:32:35.514777,0 days 00:00:00.238796,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,22640.7578125,2026-02-24 05:32:35.515736,2026-02-24 05:32:35.730058,0 days 00:00:00.214322,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,13090.955078125,2026-02-24 05:32:35.730981,2026-02-24 05:32:36.295597,0 days 00:00:00.564616,0.8277250010609204,3.3342913754128913,0.03018055303192452,2,5,1200,14.73099293843444,0.6071847502459278,COMPLETE
